,azimuth_A,elevation_A,azimuth_B,elevation_B,real_x_mm,real_y_mm,real_z_mm
0,0.0,0.0,-0.3217505543966422,0.0,1.0,0.0,1.0
1,0.3217505543966422,0.0,0.0,0.0,2.0,0.0,1.0
2,-0.3217505543966422,0.0,0.0,0.0,1.0,0.0,2.0
3,0.0,0.0,0.3217505543966422,0.0,2.0,0.0,2.0
4,-0.4636476090008061,0.0,0.19739555984988078,0.0,1.0,0.0,3.0
5,-0.19739555984988078,0.0,0.4636476090008061,0.0,2.0,0.0,3.0
6,0.0,-0.6154797086703873,-0.3217505543966422,-0.4205343352839651,1.0,-1.0,1.0
7,0.3217505543966422,-0.4205343352839651,0.0,-0.6154797086703873,2.0,-1.0,1.0
8,-0.3217505543966422,-0.4205343352839651,0.0,-0.3398369094541219,1.0,-1.0,2.0
9,0.0,-0.3398369094541219,0.3217505543966422,-0.4205343352839651,2.0,-1.0,2.0
10,-0.4636476090008061,-0.3062773691696694,0.19739555984988078,-0.27054976297857286,1.0,-1.0,3.0
11,-0.19739555984988078,-0.27054976297857286,0.4636476090008061,-0.3062773691696694,2.0,-1.0,3.0
